时间,轴心轨迹
2020-12-10 02:05:44,0.28
2020-12-10 02:05:54,0.3
2020-12-10 02:06:04,0.3
2020-12-10 02:06:14,0.29
2020-12-10 02:06:24,0.29
2020-12-10 02:06:34,0.3
2020-12-10 02:06:44,0.29
2020-12-10 02:06:54,0.3
2020-12-10 02:07:04,0.31
2020-12-10 02:07:14,0.3
2020-12-10 02:07:24,0.3
2020-12-10 02:07:34,0.32
2020-12-10 02:07:44,0.3
2020-12-10 02:07:54,0.3
2020-12-10 02:08:04,0.32
2020-12-10 02:08:14,0.3
2020-12-10 02:08:24,0.34
2020-12-10 02:08:34,0.34
2020-12-10 02:08:44,0.36
2020-12-10 02:08:54,0.36
2020-12-10 02:09:04,0.34
2020-12-10 02:09:14,0.35
2020-12-10 02:09:24,0.33
2020-12-10 02:09:34,0.35
2020-12-10 02:09:44,0.34
2020-12-10 02:09:54,0.32
2020-12-10 02:10:04,0.34
2020-12-10 02:10:14,0.33
2020-12-10 02:10:24,0.33
2020-12-10 02:10:34,0.34
2020-12-10 02:10:44,0.37
2020-12-10 02:10:54,0.37
2020-12-10 02:11:04,0.34
2020-12-10 02:11:14,0.34
2020-12-10 02:11:24,0.36
2020-12-10 02:11:34,0.29
2020-12-10 02:11:44,0.29
2020-12-10 02:11:54,0.31
2020-12-10 02:12:04,0.3
2020-12-10 02:12:14,0.31
2020-12-10 02:12:24,0.31
2020-12-10 02:12:34,0.3
2020-12-10 02:12:44,0.31
2020-12-10 02:12:54,0.3
2020-12-10 02:13:04,0.3
2020-12-10 02:13:14,0.31
2020-12-10 02:13:24,0.31
2020-12-10 02:13:34,0.31
2020-12-10 02:13:44,0.3
2020-12-10 02:13:54,0.31
2020-12-10 02:14:04,0.32
2020-12-10 02:14:14,0.31
2020-12-10 02:14:24,0.32
2020-12-10 02:14:34,0.31
2020-12-10 02:14:44,0.31
2020-12-10 02:14:54,0.33
2020-12-10 02:15:04,0.35
2020-12-10 02:15:14,0.31
2020-12-10 02:15:24,0.29
2020-12-10 02:15:34,0.3
2020-12-10 02:15:44,0.31
2020-12-10 02:15:54,0.3
2020-12-10 02:16:04,0.29
2020-12-10 02:16:14,0.3
2020-12-10 02:16:24,0.32
